date,vacinas_parcialNovas,localidade,vacinas_completasNovas,vacinas_parcialAcumulados,vacinas_completasAcumulados,vacinas_parcialNovas_100k,vacinas_parcialAcumulados_100k,vacinas_completasNovas_100k,vacinas_completasAcumulados_100k,codigo
2021-06-07,1.0,Almirante Tamandaré,0.0,1.0,0.0,0.83,0.83,0.0,0.0,4100400
2021-06-08,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-09,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-10,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-11,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-12,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-13,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-14,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-15,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-16,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-17,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-18,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-19,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-20,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-21,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-22,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-23,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-24,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-25,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-26,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-27,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-28,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-29,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-06-30,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-01,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-02,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-03,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-04,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-05,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-06,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-07,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-08,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-09,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-10,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-11,0.0,Almirante Tamandaré,0.0,1.0,0.0,0.0,0.83,0.0,0.0,4100400
2021-07-12,2.0,Almirante Tamandaré,0.0,3.0,0.0,1.67,2.5,0.0,0.0,4100400
2021-07-13,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-14,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-15,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-16,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-17,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-18,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-19,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-20,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-21,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-22,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-23,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-24,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-25,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-26,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-27,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-28,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-29,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-30,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-07-31,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-01,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-02,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-03,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-04,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-05,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-06,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-07,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-08,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-09,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-10,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-11,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-12,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-13,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-14,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-15,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-16,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-17,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-18,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-19,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-20,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-21,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-22,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-23,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-24,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-25,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-26,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-27,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-28,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-29,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-30,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-08-31,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-01,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-02,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-03,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-04,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-05,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-06,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-07,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-08,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-09,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-10,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-11,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-12,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-13,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-14,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-15,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-16,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-17,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-18,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-19,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-20,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-21,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-22,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-23,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-24,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-25,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-26,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-27,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-28,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-29,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-09-30,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-01,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-02,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-03,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-04,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-05,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-06,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-07,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-08,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-09,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-10,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-11,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-12,0.0,Almirante Tamandaré,0.0,3.0,0.0,0.0,2.5,0.0,0.0,4100400
2021-10-13,65.0,Almirante Tamandaré,98.0,68.0,98.0,54.15,56.65,81.64,81.64,4100400
2021-10-14,975.0,Almirante Tamandaré,923.0,1043.0,1021.0,812.22,868.87,768.9,850.54,4100400
2021-10-06,0.0,Altamira do Paraná,59.0,0.0,59.0,0.0,0.0,3507.73,3507.73,4100459
2021-10-07,0.0,Altamira do Paraná,4.0,0.0,63.0,0.0,0.0,237.81,3745.54,4100459
2021-10-08,0.0,Altamira do Paraná,1.0,0.0,64.0,0.0,0.0,59.45,3804.99,4100459
2021-10-09,0.0,Altamira do Paraná,0.0,0.0,64.0,0.0,0.0,0.0,3804.99,4100459
2021-10-10,0.0,Altamira do Paraná,0.0,0.0,64.0,0.0,0.0,0.0,3804.99,4100459
2021-10-11,0.0,Altamira do Paraná,0.0,0.0,64.0,0.0,0.0,0.0,3804.99,4100459
2021-10-12,0.0,Altamira do Paraná,0.0,0.0,64.0,0.0,0.0,0.0,3804.99,4100459
2021-10-13,0.0,Altamira do Paraná,9.0,0.0,73.0,0.0,0.0,535.08,4340.07,4100459
2021-10-14,0.0,Altamira do Paraná,1.0,0.0,74.0,0.0,0.0,59.45,4399.52,4100459
2021-10-13,3.0,Alto Paraná,0.0,3.0,0.0,20.19,20.19,0.0,0.0,4100608
2021-10-14,0.0,Alto Paraná,0.0,3.0,0.0,0.0,20.19,0.0,0.0,4100608
2021-04-23,0.0,Altônia,1.0,0.0,1.0,0.0,0.0,4.51,4.51,4100509
2021-04-24,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-04-25,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-04-26,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-04-27,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-04-28,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-04-29,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-04-30,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-01,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-02,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-03,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-04,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-05,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-06,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-07,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-08,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-09,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-10,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-11,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-12,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-13,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-14,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-15,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-16,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-17,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-18,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-19,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-20,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-21,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-22,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-23,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-24,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-25,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-26,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-27,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-28,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-29,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-30,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-05-31,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-01,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-02,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-03,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-04,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-05,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-06,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-07,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-08,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-09,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-10,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-11,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-12,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-13,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-14,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-15,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-16,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-17,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-18,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-19,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-20,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-21,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-22,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-23,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-24,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-25,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-26,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-27,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-28,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-29,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-06-30,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-01,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-02,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-03,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-04,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-05,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-06,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-07,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-08,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-09,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-10,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-11,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-12,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-13,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-14,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-15,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-16,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-17,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-18,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-19,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-20,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-21,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-22,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-23,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-24,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-25,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-26,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-27,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-28,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-29,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-30,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-07-31,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-01,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-02,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-03,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-04,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-05,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-06,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-07,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-08,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-09,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-10,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-11,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-12,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-13,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-14,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-15,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-16,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-17,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-18,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-19,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-20,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-21,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-22,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-23,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-24,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-25,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-26,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-27,0.0,Altônia,0.0,0.0,1.0,0.0,0.0,0.0,4.51,4100509
2021-08-28,1.0,Altônia,0.0,1.0,1.0,4.51,4.51,0.0,4.51,4100509
2021-08-29,0.0,Altônia,0.0,1.0,1.0,0.0,4.51,0.0,4.51,4100509
2021-08-30,0.0,Altônia,0.0,1.0,1.0,0.0,4.51,0.0,4.51,4100509
